CODIGO DANE,DEPARTAMENTO,MUNICIPIO,PERSONAS EXPULSADAS,PERSONAS RECIBIDAS,PERSONAS DECLARADAS
13580,BOLIVAR,REGIDOR,3293,2077,2969
5040,ANTIOQUIA,ANORI,13918,6873,6635
5086,ANTIOQUIA,BELMIRA,598,408,358
5038,ANTIOQUIA,ANGOSTURA,4001,2219,2431
13140,BOLIVAR,CALAMAR,4972,713,659
13670,BOLIVAR,SAN PABLO,39649,26798,27379
13780,BOLIVAR,TALAIGUA NUEVO,723,971,1154
15185,BOYACA,CHITARAQUE,140,179,195
15218,BOYACA,COVARACHIA,222,7,14
5138,ANTIOQUIA,CA„ASGORDAS,8401,2608,3488
5148,ANTIOQUIA,EL CARMEN DE VIBORAL,9033,7095,5889
5190,ANTIOQUIA,CISNEROS,1117,1179,1408
5197,ANTIOQUIA,COCORNA,32095,14506,18199
5642,ANTIOQUIA,SALGAR,9017,2853,3407
70233,SUCRE,EL ROBLE,3678,716,995
5237,ANTIOQUIA,DONMATIAS,529,2339,2092
5264,ANTIOQUIA,ENTRERRIOS,227,362,278
5266,ANTIOQUIA,ENVIGADO,551,4694,4338
5390,ANTIOQUIA,LA PINTADA,1000,659,839
5475,ANTIOQUIA,MURINDO,3320,4242,5148
73030,TOLIMA,AMBALEMA,811,293,273
73043,TOLIMA,ANZOATEGUI,6255,1064,2240
73067,TOLIMA,ATACO,19173,4046,5910
73152,TOLIMA,CASABIANCA,2332,301,368
73168,TOLIMA,CHAPARRAL,22871,8233,7565
73226,TOLIMA,CUNDAY,6274,1126,1518
73686,TOLIMA,SANTA ISABEL,3499,514,547
73520,TOLIMA,PALOCABILDO,2649,604,574
70771,SUCRE,SUCRE,18592,5731,10049
70823,SUCRE,TOLU VIEJO,17354,7369,8004
63190,QUINDIO,CIRCASIA,483,2295,1836
63401,QUINDIO,LA TEBAIDA,511,4874,4265
63548,QUINDIO,PIJAO,1933,1737,1581
68418,SANTANDER,LOS SANTOS,102,146,142
68498,SANTANDER,OCAMONTE,75,62,54
85136,CASANARE,LA SALINA,298,79,61
85250,CASANARE,PAZ DE ARIPORO,4280,3943,3329
68684,SANTANDER,SAN JOSE DE MIRANDA,184,30,24
68689,SANTANDER,SAN VICENTE DE CHUCURI,10264,3162,3148
68720,SANTANDER,SANTA HELENA DEL OPON,2053,255,433
66572,RISARALDA,PUEBLO RICO,12259,3964,4845
68229,SANTANDER,CURITI,90,108,58
68264,SANTANDER,ENCINO,158,304,296
95001,GUAVIARE,SAN JOSE DEL GUAVIARE,45836,33169,35322
97511,VAUPES,PACOA,147,7,
76122,VALLE DEL CAUCA,CAICEDONIA,2509,2517,1974
76126,VALLE DEL CAUCA,CALIMA,2836,2028,1977
76400,VALLE DEL CAUCA,LA UNION,1332,1618,1578
86569,PUTUMAYO,PUERTO CAICEDO,15065,4146,3984
91263,AMAZONAS,EL ENCANTO,220,64,8
91530,AMAZONAS,PUERTO ALEGRIA,129,29,1
23672,CORDOBA,SAN ANTERO,1314,843,652
20750,CESAR,SAN DIEGO,16199,11605,12695
25001,CUNDINAMARCA,AGUA DE DIOS,339,299,470
25019,CUNDINAMARCA,ALBAN,728,446,471
25035,CUNDINAMARCA,ANAPOIMA,335,755,783
81591,ARAUCA,PUERTO RONDON,3498,1815,1943
23500,CORDOBA,MO„ITOS,3483,3094,3326
23570,CORDOBA,PUEBLO NUEVO,5446,3909,3838
23580,CORDOBA,PUERTO LIBERTADOR,44620,33356,33568
23168,CORDOBA,CHIMA,543,515,418
23419,CORDOBA,LOS CORDOBAS,3616,4448,4188
20238,CESAR,EL COPEY,25922,9110,10147
17877,CALDAS,VITERBO,624,791,674
18029,CAQUETA,ALBANIA,4924,2198,2520
18150,CAQUETA,CARTAGENA DEL CHAIRA,39275,11684,10933
15832,BOYACA,TUNUNGUA,75,8,
15897,BOYACA,ZETAQUIRA,227,188,208
17042,CALDAS,ANSERMA,3883,2554,2286
17486,CALDAS,NEIRA,1426,723,438
17524,CALDAS,PALESTINA,855,842,673
17541,CALDAS,PENSILVANIA,20231,8803,12098
19785,CAUCA,SUCRE,2944,527,690
20011,CESAR,AGUACHICA,18604,22181,19566
19355,CAUCA,INZA,3013,526,470
19450,CAUCA,MERCADERES,7384,5043,4995
66088,RISARALDA,BELEN DE UMBRIA,2754,1751,1585
66170,RISARALDA,DOSQUEBRADAS,1519,11935,7566
66318,RISARALDA,GUATICA,3051,2629,2804
66440,RISARALDA,MARSELLA,502,1199,1066
68013,SANTANDER,AGUADA,144,23,22
68020,SANTANDER,ALBANIA,360,24,12
68176,SANTANDER,CHIMA,770,281,327
68207,SANTANDER,CONCEPCION,648,312,346
68320,SANTANDER,GUADALUPE,108,116,89
95200,GUAVIARE,MIRAFLORES,12548,819,543
76606,VALLE DEL CAUCA,RESTREPO,1397,2230,2177
76318,VALLE DEL CAUCA,GUACARI,1005,1708,1696
76364,VALLE DEL CAUCA,JAMUNDI,10532,13580,12909
91405,AMAZONAS,LA CHORRERA,129,27,13
91430,AMAZONAS,LA VICTORIA,63,8,
94663,GUAINIA,MAPIRIPANA,593,30,
94887,GUAINIA,PANA PANA,28,,
76736,VALLE DEL CAUCA,SEVILLA,4756,3273,2454
76828,VALLE DEL CAUCA,TRUJILLO,5818,2688,2675
23001,CORDOBA,MONTERIA,36910,112895,107961
20295,CESAR,GAMARRA,2049,1354,1370
20517,CESAR,PAILITAS,16906,10019,14763
81220,ARAUCA,CRAVO NORTE,3320,930,954
23574,CORDOBA,PUERTO ESCONDIDO,2615,2726,2233
23350,CORDOBA,LA APARTADA,2375,4059,4469
23417,CORDOBA,LORICA,4543,4448,2996
23464,CORDOBA,MOMIL,654,809,636
Sin Informaci—n,Sin Informaci—n,Sin Informaci—n,2904,,
86,Sin Informaci—n,Sin Informaci—n,5,,
41,Sin Informaci—n,Sin Informaci—n,2,,
73000,Sin Informaci—n,Sin Informaci—n,2,,
47,Sin Informaci—n,Sin Informaci—n,62,,
25,Sin Informaci—n,Sin Informaci—n,2,,
95,Sin Informaci—n,Sin Informaci—n,4,,
23,Sin Informaci—n,Sin Informaci—n,22,,
68,Sin Informaci—n,Sin Informaci—n,4,,
2727086,Sin Informaci—n,Sin Informaci—n,28,,
70,Sin Informaci—n,Sin Informaci—n,2,,
99572,Sin Informaci—n,Sin Informaci—n,100,3,
54,Sin Informaci—n,Sin Informaci—n,50,,
5,Sin Informaci—n,Sin Informaci—n,52,,
Sin Informaci—n,Sin Informaci—n,Sin Informaci—n,96179,119581,3384
13,Sin Informaci—n,Sin Informaci—n,1,,
15,Sin Informaci—n,Sin Informaci—n,2,,
19,Sin Informaci—n,Sin Informaci—n,3,,
76,Sin Informaci—n,Sin Informaci—n,3,,
99760,Sin Informaci—n,Sin Informaci—n,646,3,
18,Sin Informaci—n,Sin Informaci—n,4,,
20,Sin Informaci—n,Sin Informaci—n,17,,
27,Sin Informaci—n,Sin Informaci—n,27,,
73,Sin Informaci—n,Sin Informaci—n,11,,
52,Sin Informaci—n,Sin Informaci—n,5,,
81,Sin Informaci—n,Sin Informaci—n,2,,
17,Sin Informaci—n,Sin Informaci—n,17,,
25000,Sin Informaci—n,Sin Informaci—n,2,,
