CODIGO DANE,DEPARTAMENTO,MUNICIPIO,PERSONAS EXPULSADAS,PERSONAS RECIBIDAS,PERSONAS DECLARADAS
44110,LA GUAJIRA,EL MOLINO,5259,6338,6642
25099,CUNDINAMARCA,BOJACA,73,228,226
25200,CUNDINAMARCA,COGUA,17,278,273
25214,CUNDINAMARCA,COTA,24,473,513
25297,CUNDINAMARCA,GACHETA,474,201,196
25612,CUNDINAMARCA,RICAURTE,56,290,268
25645,CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA,235,360,365
25653,CUNDINAMARCA,SAN CAYETANO,283,42,27
25772,CUNDINAMARCA,SUESCA,11,221,265
25394,CUNDINAMARCA,LA PALMA,15737,3444,9432
25407,CUNDINAMARCA,LENGUAZAQUE,17,31,13
25430,CUNDINAMARCA,MADRID,100,2529,2388
25491,CUNDINAMARCA,NOCAIMA,157,286,251
47460,MAGDALENA,NUEVA GRANADA,2156,1240,711
41013,HUILA,AGRADO,312,378,374
41016,HUILA,AIPE,2910,1788,1595
41020,HUILA,ALGECIRAS,15027,1315,962
41078,HUILA,BARAYA,5525,2142,2114
41357,HUILA,IQUIRA,3468,1193,1391
41799,HUILA,TELLO,4888,896,651
25817,CUNDINAMARCA,TOCANCIPA,27,929,798
25878,CUNDINAMARCA,VIOTA,11434,6014,7720
52480,NARI„O,NARI„O,438,592,599
52520,NARI„O,FRANCISCO PIZARRO,4638,1665,1668
52693,NARI„O,SAN PABLO,2338,773,874
54125,NORTE DE SANTANDER,CACOTA,76,92,22
54223,NORTE DE SANTANDER,CUCUTILLA,634,680,537
52678,NARI„O,SAMANIEGO,13710,17150,18468
52381,NARI„O,LA FLORIDA,1542,1698,1711
54099,NORTE DE SANTANDER,BOCHALEMA,247,440,350
47545,MAGDALENA,PIJI„O DEL CARMEN,1488,650,504
47605,MAGDALENA,REMOLINO,16938,5459,10910
50251,META,EL CASTILLO,10260,3737,3788
50270,META,EL DORADO,3241,1953,2423
50325,META,MAPIRIPAN,22997,5428,4963
50245,META,EL CALVARIO,742,64,70
54344,NORTE DE SANTANDER,HACARI,9965,5242,5464
54385,NORTE DE SANTANDER,LA ESPERANZA,3582,1344,1813
54518,NORTE DE SANTANDER,PAMPLONA,539,1390,1264
54553,NORTE DE SANTANDER,PUERTO SANTANDER,1531,1386,1453
52788,NARI„O,TANGUA,2120,626,1481
