censo,per_si,pc1_2009,despforz,victim,lndespforz,lnvictim,Id_mun
47612,36.30725191,-1.021515608,496,66,6.206575871,4.189654827,05308
8404,36.76190476,-1.053836942,438,1,6.082219124,0,05310
10270,39.46316391,-0.919894338,22663,183,10.02848911,5.209486008,05313
5656,54.88086088,-0.9791255,844,31,6.738152504,3.433987141,05315
31687,26.73759845,-0.997564912,761,35,6.634633541,3.555348158,05318
6523,38.52407755,-1.060415506,623,9,6.434546471,2.197224617,05321
6157,44.28871759,-0.849579453,1418,9,7.257002831,2.197224617,05347
5219,41.23989218,-0.962943971,117,,4.762174129,,05353
245703,37.09767599,-0.733517706,2373,56,7.771910191,4.025351524,05360
17406,69.34905177,2.591084242,30061,353,10.31098366,5.866467953,05361
12094,35.96802842,-0.78566426,664,32,6.498281956,3.465735912,05364
11023,29.01758642,-1.060415506,193,9,5.262690067,2.197224617,05368
44306,30.10670732,-0.985866964,1035,47,6.942156792,3.850147486,05376
50695,36.4676536,-0.913282514,241,16,5.484797001,2.77258873,05380
6588,42.26932668,-0.964396477,525,43,6.26339817,3.76120019,05390
16219,34.78794491,-1.033967137,5521,57,8.616313934,4.043051243,05400
9204,35.78826237,-0.751376748,3050,,8.022896767,,05411
7467,42.18241042,-0.691671908,1172,19,7.066466808,2.944438934,05425
38176,31.36660181,-0.967936635,2623,68,7.872074127,4.219507694,05440
6043,55.11856564,-0.94405961,3206,50,8.072779655,3.912023067,05467
2724,96.06087735,-0.986115932,2510,65,7.828038216,4.174387455,05475
13626,64.50034941,0.238043353,35434,215,10.47542667,5.370637894,05480
9015,32.58706468,-0.902845263,13207,90,9.488502502,4.499809742,05483
32486,60.38232442,-0.738658011,30296,7,10.31877136,1.945910096,05490
18186,51.84689507,-0.580813229,7501,20,8.922791481,2.995732307,05495
2719,37.81163435,-0.535200119,220,1,5.393627644,0,05501
15806,38.36133661,-1.0461725,3783,165,8.238272667,5.105945587,05541
6089,72.85714286,-0.473890126,13478,6424,9.508813858,8.767796516,05543
7113,34.25765453,-0.993409634,921,,6.825459957,,05576
34085,31.49784727,-0.392348617,4791,74,8.47449398,4.304065228,05579
12202,58.77351198,-0.876628518,1393,3,7.239214897,1.098612309,05585
12982,26.2924282,-0.865062237,1166,6,7.061334133,1.791759491,05591
17020,34.72913616,1.086953998,7009,158,8.854949951,5.062594891,05604
15100,31.32301402,-1.03280592,346,29,5.846438885,3.367295742,05607
94806,30.58329961,-0.946489811,1036,39,6.943122387,3.663561583,05615
7052,34.13777973,-0.847034156,3123,9,8.046549797,2.197224617,05628
59616,37.06530643,-0.886694074,154,12,5.036952496,2.484906673,05631
13483,32.54265501,0.928543329,4729,16,8.461468697,2.77258873,05642
5184,44.96815287,-0.293799162,1852,20,7.524021626,2.995732307,05647
13944,46.98250442,1.016297936,29995,275,10.30878639,5.616771221,05649
6140,42.28058937,-0.317021638,15535,1668,9.65085125,7.419380665,05652
11911,37.11340206,-0.790287793,558,7,6.32435894,1.945910096,05656
3164,36.8902439,-1.024632931,522,6,6.257667542,1.791759491,05658
17433,66.22958931,-0.939913988,10020,7,9.212338448,1.945910096,05659
10748,24.92299076,1.605532646,24323,769,10.09917736,6.645091057,05660
18915,25.65853659,-0.959194303,4652,1,8.445052147,0,05664
25244,50.96486888,-0.915537238,20882,4,9.946642876,1.386294365,05665
12155,38.8326226,-0.854126453,19509,96,9.878631592,4.564348221,05667
14580,41.20904476,-0.674887657,5477,13,8.608312607,2.564949274,05670
16445,27.92517007,-0.98976171,4297,20,8.365672112,2.995732307,05674
22078,35.67668535,-0.995895147,2161,52,7.67832613,3.951243639,05679
25810,30.10796085,-0.982465804,1187,15,7.079184532,2.708050251,05686
9178,39.2263196,-0.87102145,3091,27,8.036250114,3.295836926,05690
26217,26.95764839,-1.030037284,3327,48,8.109826088,3.871201038,05697
26169,33.03551972,-0.662255466,7972,73,8.983690262,4.290459633,05736
27198,26.14725448,-0.769980013,17330,74,9.760194778,4.304065228,05756
12063,45.27891814,1.339393735,797,1,6.680854797,0,05761
14473,35.34019696,-0.989841878,1091,5,6.994850159,1.609437943,05789
26186,60.07256393,4.092908859,19384,504,9.872202873,6.222576141,05790
5883,42.12730318,-1.050069928,293,,5.680172443,,05792
8726,35.2661597,-0.962192237,335,8,5.814130306,2.079441547,05809
4383,61.14942529,-0.884859145,2441,14,7.800163269,2.639057398,05819
84866,56.14606464,1.007146358,94216,64,11.4533453,4.158883095,05837
6351,53.91156463,-0.798342645,5727,5,8.652947426,1.609437943,05842
22361,47.18900589,-0.803566933,31039,195,10.34299946,5.272999763,05847
12054,50.07006072,3.35940218,5667,82,8.642415047,4.406719208,05854
5665,40.06711409,-0.986876547,261,,5.564520359,,05856
10165,28.40203275,-0.874189615,3448,50,8.145549774,3.912023067,05858
10977,38.30307263,-0.956635416,493,,6.200509071,,05861
5245,96.02771363,-0.533146501,11496,31,9.349754333,3.433987141,05873
6006,38.70682019,1.323852897,1358,10,7.213768482,2.302585125,05885
33092,32.56200177,1.182476878,4321,123,8.371242523,4.812184334,05887
15878,39.54104148,-0.776996195,4091,197,8.316544533,5.283203602,05890
12182,45.81565754,-0.506319642,13667,171,9.52273941,5.141663551,05893
18939,49.20541495,0.405807763,10379,18,9.24753952,2.890371799,05895
1029268,57.4465909,0.876930714,3844,873,8.254268646,6.771935463,08001
45824,72.34455959,-0.989903331,484,19,6.182085037,2.944438934,08078
19302,62.04667864,-1.060415506,100,1,4.60517025,0,08137
11294,69.63806971,-1.060415506,72,5,4.276666164,1.609437943,08141
34607,62.01865582,-0.921832681,349,12,5.855072021,2.484906673,08296
17179,68.82742725,-1.05597651,57,6,4.043051243,1.791759491,08372
23080,64.51153518,-0.972183228,407,29,6.008813381,3.367295742,08421
74964,56.05038809,-0.96568352,603,33,6.401916981,3.496507645,08433
13416,83.96560445,-0.996681035,127,3,4.84418726,1.098612309,08436
19636,71.99097292,-1.060024977,95,2,4.553876877,0.693147182,08520
5409,74.08880053,-1.060415506,303,5,5.713732719,1.609437943,08549
12246,81.1225997,-1.058419824,119,3,4.779123306,1.098612309,08558
17776,63.2436627,-1.059927702,141,8,4.948760033,2.079441547,08560
31487,61.52600907,-0.887389481,106,4,4.663439274,1.386294365,08573
18423,80.04333173,-1.052736402,740,,6.606650352,,08606
22784,63.92056626,-1.037489533,274,6,5.613128185,1.791759491,08634
64908,73.37558525,-1.012482405,665,43,6.499786854,3.76120019,08638
9928,75.30800821,-1.060415506,75,,4.317488194,,08675
25858,71.69414241,-1.0229702,138,5,4.927253723,1.609437943,08685
264289,58.97610564,-0.992411971,1320,102,7.185387135,4.62497282,08758
,,-1.060415506,71,,4.262680054,,08770
9481,67.76740847,-0.941500843,126,22,4.836281776,3.091042519,08832
7497,77.42382271,-1.060415506,24,12,3.178053856,2.484906673,08849
5547172,56.07984101,3.485631704,7296,1715,8.89508152,7.44716835,11001
732774,55.73221185,0.851675928,11712,388,9.368369102,5.961005211,13001
15748,69.68128135,-0.952126026,11242,40,9.327411652,3.68887949,13006
6667,56.66906994,-0.938461483,8909,4,9.094817162,1.386294365,13030
5625,88.06670141,-0.571047425,4038,15,8.303504944,2.708050251,13042
51077,62.34491315,-1.010805488,1407,70,7.249215126,4.248495102,13052
7362,75.4895341,-0.944711268,623,2,6.434546471,0.693147182,13062
