year,cod_dpto,cod_mpio,Name_mun,depto,Labor,ibc_sal,PET,pib_dpto_const_base2000,pib_dpto_corr,DIP_dpto,infl_dpto,grado_importancia,addval,weight,pib_mun_corr,pib_mun_const,DIP_mun,TO,TD_Dpto,TO_Dpto,TGP_Dpto
2013,91,91460,MIRITI - PARANA,AMAZONAS,5.416666667,695746.4286,1127,333,477,1.432432413,,7,3.868464178,0.007830899,3.735338926,2.607689381,1.432432413,0.48062703,,,
2014,91,91460,MIRITI - PARANA,AMAZONAS,6.833333333,792727.5794,1125,347,521,1.501440883,4.817572594,7,3.868464178,0.007830899,4.079898357,2.717322111,1.501440883,0.607407391,,,
2015,91,91460,MIRITI - PARANA,AMAZONAS,7.25,1047928.873,1112,,,,,,,,,,,0.651978433,,,
2013,91,91530,PUERTO ALEGRIA,AMAZONAS,2.25,586375,1216,333,477,1.432432413,,7,7.654806839,0.01549556,7.391382217,5.160021782,1.432432413,0.185032889,,,
2014,91,91530,PUERTO ALEGRIA,AMAZONAS,3.5,612958.3333,1264,347,521,1.501440883,4.817572594,7,7.654806839,0.01549556,8.073186874,5.376959324,1.501441002,0.276898742,,,
2015,91,91530,PUERTO ALEGRIA,AMAZONAS,4.916666667,641987.5,1329,,,,,,,,,,,0.369952351,,,
2015,91,91536,PUERTO ARICA,AMAZONAS,1,644350,911,,,,,,,,,,,0.109769486,,,
2013,91,91540,PUERTO NARINO,AMAZONAS,75,637024.0421,5431,333,477,1.432432413,,7,45.89511904,0.092905099,44.31573105,30.93739891,1.432432294,1.38096118,,,
2014,91,91540,PUERTO NARINO,AMAZONAS,81.41666667,663182.3133,5517,347,521,1.501440883,4.817572594,7,45.89511904,0.092905099,48.40355682,32.23806763,1.501441002,1.475741625,,,
2015,91,91540,PUERTO NARINO,AMAZONAS,87.66666667,682841.0178,5610,,,,,,,,,,,1.562685728,,,
2013,91,91669,PUERTO SANTANDER,AMAZONAS,3.083333333,587618.0556,1953,333,477,1.432432413,,7,7.446408892,0.015073702,7.190155983,5.019542694,1.432432532,0.157876775,,,
2014,91,91669,PUERTO SANTANDER,AMAZONAS,3,614527.7778,2015,347,521,1.501440883,4.817572594,7,7.446408892,0.015073702,7.8533988,5.230574608,1.501440883,0.148883373,,,
2015,91,91669,PUERTO SANTANDER,AMAZONAS,2.583333333,641987.5,2093,,,,,,,,,,,0.123427294,,,
2013,91,91798,TARAPACA,AMAZONAS,1.375,645312.5,2827,333,477,1.432432413,,7,20.37282078,0.041240528,19.67173195,13.73309612,1.432432413,0.048638131,,,
2014,91,91798,TARAPACA,AMAZONAS,1,616000,2863,347,521,1.501440883,4.817572594,7,20.37282078,0.041240528,21.48631477,14.31046295,1.501440883,0.034928396,,,
2015,91,91798,TARAPACA,AMAZONAS,1.8,644350,2892,,,,,,,,,,,0.062240664,,,
2013,05,05002,ABEJORRAL,ANTIOQUIA,5104.5,653990.2166,15644,66612,92613,1.390335083,,6,149.0251267,0.001597833,147.9801483,106.4348755,1.390335202,32.62912369,9.727226257,57.72743988,63.94778442
2014,05,05002,ABEJORRAL,ANTIOQUIA,4074.5,681515.8865,15574,71176,101650,1.428149939,2.719837427,6,149.0251267,0.001597833,162.4197693,113.7273865,1.428150058,26.1621933,9.415057182,57.4821701,63.45665359
2015,05,05002,ABEJORRAL,ANTIOQUIA,3619.333333,725901.4197,15504,,,,,,,,,,,23.34451294,,,
2013,05,05004,ABRIAQUI,ANTIOQUIA,53.33333333,663847.333,1831,66612,92613,1.390335083,,7,17.56849885,0.000188368,17.44530678,12.54755497,1.390335202,2.912798166,9.727226257,57.72743988,63.94778442
2014,05,05004,ABRIAQUI,ANTIOQUIA,49.75,663591.2664,1789,71176,101650,1.428149939,2.719837427,7,17.56849885,0.000188368,19.14758682,13.40726566,1.428150058,2.780883074,9.415057182,57.4821701,63.45665359
2015,05,05004,ABRIAQUI,ANTIOQUIA,55.08333333,689584.6655,1751,,,,,,,,,,,3.145821333,,,
2013,05,05021,ALEJANDRIA,ANTIOQUIA,127.5833333,617744.7386,3007,66612,92613,1.390335083,,7,34.67223548,0.000371752,34.42910767,24.76317406,1.390334964,4.24287796,9.727226257,57.72743988,63.94778442
2014,05,05021,ALEJANDRIA,ANTIOQUIA,171.3333333,684801.0358,2964,71176,101650,1.428149939,2.719837427,7,34.67223548,0.000371752,37.78863525,26.45985222,1.428149939,5.780477047,9.415057182,57.4821701,63.45665359
2015,05,05021,ALEJANDRIA,ANTIOQUIA,203.8333333,725130.9571,2930,,,,,,,,,,,6.95676899,,,
2013,05,05030,AMAGA,ANTIOQUIA,1988.666667,623483.8313,23113,66612,92613,1.390335083,,4,290.334761,0.003112942,288.2988892,207.3592987,1.390334964,8.604104042,9.727226257,57.72743988,63.94778442
2014,05,05030,AMAGA,ANTIOQUIA,2120.666667,645878.3903,23354,71176,101650,1.428149939,2.719837427,4,290.334761,0.003112942,316.430542,221.5667572,1.428149939,9.080528259,9.415057182,57.4821701,63.45665359
2015,05,05030,AMAGA,ANTIOQUIA,2461.583333,673035.6034,23632,,,,,,,,,,,10.41631413,,,
2013,05,05031,AMALFI,ANTIOQUIA,1227.833333,613908.6685,16870,66612,92613,1.390335083,,4,304.2731687,0.003262388,302.1395569,217.314209,1.390335083,7.278205872,9.727226257,57.72743988,63.94778442
2014,05,05031,AMALFI,ANTIOQUIA,1227.833333,642004.9062,17017,71176,101650,1.428149939,2.719837427,4,304.2731687,0.003262388,331.6217651,232.2037506,1.428149939,7.215333462,9.415057182,57.4821701,63.45665359
2015,05,05031,AMALFI,ANTIOQUIA,1142.25,680441.602,17153,,,,,,,,,,,6.659184933,,,
2013,05,05034,ANDES,ANTIOQUIA,2063.75,616943.4073,35800,66612,92613,1.390335083,,3,485.5585146,0.005206113,482.153717,346.7895813,1.390335083,5.76466465,9.727226257,57.72743988,63.94778442
2014,05,05034,ANDES,ANTIOQUIA,2194.833333,649251.9033,36225,71176,101650,1.428149939,2.719837427,3,485.5585146,0.005206113,529.201355,370.550293,1.428149819,6.058891296,9.415057182,57.4821701,63.45665359
2015,05,05034,ANDES,ANTIOQUIA,2329.25,675800.5949,36666,,,,,,,,,,,6.352615356,,,
2013,05,05036,ANGELOPOLIS,ANTIOQUIA,259.0833333,599267.8212,7136,66612,92613,1.390335083,,7,72.60382928,0.000778451,72.09471893,51.85420609,1.390335083,3.630652189,9.727226257,57.72743988,63.94778442
2014,05,05036,ANGELOPOLIS,ANTIOQUIA,267.5,626878.0964,7245,71176,101650,1.428149939,2.719837427,7,72.60382928,0.000778451,79.12958527,55.40705872,1.428149939,3.692201614,9.415057182,57.4821701,63.45665359
2015,05,05036,ANGELOPOLIS,ANTIOQUIA,281.0833333,667060.9267,7371,,,,,,,,,,,3.813367605,,,
2013,05,05038,ANGOSTURA,ANTIOQUIA,219.75,651588.4035,8976,66612,92613,1.390335083,,6,141.2260687,0.001514213,140.2357788,100.8647308,1.390335083,2.448195219,9.727226257,57.72743988,63.94778442
2014,05,05038,ANGOSTURA,ANTIOQUIA,239.1666667,689686.0657,8877,71176,101650,1.428149939,2.719837427,6,141.2260687,0.001514213,153.9197083,107.7755966,1.428149939,2.694228649,9.415057182,57.4821701,63.45665359
2015,05,05038,ANGOSTURA,ANTIOQUIA,257.5833333,707329.1202,8734,,,,,,,,,,,2.949202299,,,
2013,05,05040,ANORI,ANTIOQUIA,426.3333333,663624.2854,13093,66612,92613,1.390335083,,5,204.506049,0.002192695,203.0720215,146.0597687,1.390335083,3.256192923,9.727226257,57.72743988,63.94778442
2014,05,05040,ANORI,ANTIOQUIA,409.4166667,681205.3539,13260,71176,101650,1.428149939,2.719837427,5,204.506049,0.002192695,222.8874054,156.0672302,1.428149939,3.087606907,9.415057182,57.4821701,63.45665359
2015,05,05040,ANORI,ANTIOQUIA,410.0833333,706085.2508,13427,,,,,,,,,,,3.054169416,,,
2013,05,05044,ANZA,ANTIOQUIA,125.5833333,649104.7797,5909,66612,92613,1.390335083,,7,56.26173816,0.000603233,55.86722183,40.18255997,1.390335083,2.125289202,9.727226257,57.72743988,63.94778442
2014,05,05044,ANZA,ANTIOQUIA,136.8333333,722168.8294,5928,71176,101650,1.428149939,2.719837427,7,56.26173816,0.000603233,61.31864166,42.93571472,1.428150058,2.308254719,9.415057182,57.4821701,63.45665359
2015,05,05044,ANZA,ANTIOQUIA,157.6666667,687769.0537,5940,,,,,,,,,,,2.654320955,,,
2013,05,05045,APARTADO,ANTIOQUIA,17001,677181.1283,126974,66612,92613,1.390335083,,2,1798.458399,0.019282902,1785.847412,1284.472656,1.390335083,13.38935566,9.727226257,57.72743988,63.94778442
2014,05,05045,APARTADO,ANTIOQUIA,19565.25,720149.245,131086,71176,101650,1.428149939,2.719837427,2,1798.458399,0.019282902,1960.106934,1372.479858,1.428149819,14.92550659,9.415057182,57.4821701,63.45665359
2015,05,05045,APARTADO,ANTIOQUIA,21847.75,755920.6183,135116,,,,,,,,,,,16.16962433,,,
2013,05,05051,ARBOLETES,ANTIOQUIA,498.5833333,639539.2916,28678,66612,92613,1.390335083,,4,277.1304004,0.002971366,275.1871338,197.9286346,1.390335083,1.738556862,9.727226257,57.72743988,63.94778442
2014,05,05051,ARBOLETES,ANTIOQUIA,573.5,663135.2168,29501,71176,101650,1.428149939,2.719837427,4,277.1304004,0.002971366,302.0393677,211.4899597,1.428149939,1.944001913,9.415057182,57.4821701,63.45665359
2015,05,05051,ARBOLETES,ANTIOQUIA,516.25,702360.767,30298,,,,,,,,,,,1.703907847,,,
2013,05,05055,ARGELIA,ANTIOQUIA,93.83333333,611031.495,6739,66612,92613,1.390335083,,7,62.29058419,0.000667874,61.8537941,44.48840714,1.390335083,1.392392516,9.727226257,57.72743988,63.94778442
2014,05,05055,ARGELIA,ANTIOQUIA,101.0833333,715442.6408,6653,71176,101650,1.428149939,2.719837427,7,62.29058419,0.000667874,67.88937378,47.53658295,1.428150058,1.519364715,9.415057182,57.4821701,63.45665359
2015,05,05055,ARGELIA,ANTIOQUIA,102.8333333,715376.5696,6556,,,,,,,,,,,1.568537712,,,
2013,05,05059,ARMENIA,ANTIOQUIA,231.75,708241.1165,3452,66612,92613,1.390335083,,7,48.0404902,0.000515086,47.70362473,34.31088257,1.390335083,6.713499546,9.727226257,57.72743988,63.94778442
2014,05,05059,ARMENIA,ANTIOQUIA,428.1666667,682720.7964,3390,71176,101650,1.428149939,2.719837427,7,48.0404902,0.000515086,52.35845184,36.66173553,1.428149819,12.63028526,9.415057182,57.4821701,63.45665359
2015,05,05059,ARMENIA,ANTIOQUIA,201.75,759077.843,3331,,,,,,,,,,,6.056739807,,,
2013,05,05079,BARBOSA,ANTIOQUIA,2575.75,636524.8933,38641,66612,92613,1.390335083,,3,777.9603405,0.008341218,772.505188,555.6251831,1.390335083,6.665847301,9.727226257,57.72743988,63.94778442
2014,05,05079,BARBOSA,ANTIOQUIA,2827.666667,671060.9139,39351,71176,101650,1.428149939,2.719837427,3,777.9603405,0.008341218,847.8847656,593.694519,1.428149939,7.18575573,9.415057182,57.4821701,63.45665359
2015,05,05079,BARBOSA,ANTIOQUIA,3126.25,699502.0034,40077,,,,,,,,,,,7.800608635,,,
2013,05,05088,BELLO,ANTIOQUIA,37412.16667,642185.1561,360655,66612,92613,1.390335083,,2,3950.896982,0.042361146,3923.192871,2821.760742,1.390335083,10.37339497,9.727226257,57.72743988,63.94778442
2014,05,05088,BELLO,ANTIOQUIA,40312.91667,688806.0599,368420,71176,101650,1.428149939,2.719837427,2,3950.896982,0.042361146,4306.010254,3015.096924,1.428149819,10.94210911,9.415057182,57.4821701,63.45665359
2015,05,05088,BELLO,ANTIOQUIA,39042.91667,731165.2227,376160,,,,,,,,,,,10.37933731,,,
2013,05,05086,BELMIRA,ANTIOQUIA,95,626662.457,5169,66612,92613,1.390335083,,7,65.21536793,0.000699233,64.7580719,46.57731247,1.390335083,1.837879658,9.727226257,57.72743988,63.94778442
2014,05,05086,BELMIRA,ANTIOQUIA,105,652445.2773,5223,71176,101650,1.428149939,2.719837427,7,65.21536793,0.000699233,71.07704163,49.76861191,1.428149939,2.010338783,9.415057182,57.4821701,63.45665359
2015,05,05086,BELMIRA,ANTIOQUIA,117.25,670321.4845,5262,,,,,,,,,,,2.228240252,,,
2013,05,05091,BETANIA,ANTIOQUIA,204.8333333,660824.0034,7454,66612,92613,1.390335083,,6,122.3057543,0.001311351,121.4481277,87.35169983,1.390335083,2.747965336,9.727226257,57.72743988,63.94778442
2014,05,05091,BETANIA,ANTIOQUIA,201.1666667,649791.5481,7394,71176,101650,1.428149939,2.719837427,6,122.3057543,0.001311351,133.2988129,93.33670044,1.428150058,2.720674515,9.415057182,57.4821701,63.45665359
2015,05,05091,BETANIA,ANTIOQUIA,231.25,687996.2132,7345,,,,,,,,,,,3.148400307,,,
2013,05,05093,BETULIA,ANTIOQUIA,269.1666667,629987.1513,13569,66612,92613,1.390335083,,5,177.444237,0.00190254,176.1999817,126.7320251,1.390335083,1.983688354,9.727226257,57.72743988,63.94778442
2014,05,05093,BETULIA,ANTIOQUIA,269.9166667,661907.5359,13660,71176,101650,1.428149939,2.719837427,5,177.444237,0.00190254,193.3932343,135.4152222,1.428149939,1.975963831,9.415057182,57.4821701,63.45665359
2015,05,05093,BETULIA,ANTIOQUIA,275.3333333,691277.6139,13778,,,,,,,,,,,1.998354912,,,
2013,05,05107,BRICENO,ANTIOQUIA,201.3333333,643539.4697,6763,66612,92613,1.390335083,,7,59.36344125,0.000636489,58.94717789,42.39781952,1.390335083,2.976982594,9.727226257,57.72743988,63.94778442
2014,05,05107,BRICENO,ANTIOQUIA,208,684045.8833,6771,71176,101650,1.428149939,2.719837427,7,59.36344125,0.000636489,64.6991272,45.30275726,1.428149819,3.071924448,9.415057182,57.4821701,63.45665359
2015,05,05107,BRICENO,ANTIOQUIA,228.8333333,709347.2755,6779,,,,,,,,,,,3.375620842,,,
